lap_num,s1_time,incident,related_b_hits,related_t_hits,brake_throttle_deltas
110,27971,none,"['../Data/image-data/session-12/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_6_Throttle hit_2.png']","[[1.100811243057251, 1.0, 1.0], [2.4422802925109863, 2.0, 2.0]]"
111,28052,track limit violation,['../Data/image-data/session-12/brake/Lap_7_track_limit_violating_brake.png'],['../Data/image-data/session-12/throttle/Lap_7_track_limit_violating_throttle_hit.png'],"[[1.0080933570861816, 1.0, 1.0]]"
112,28432,none,"['../Data/image-data/session-12/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_8_Throttle hit_2.png']","[[1.529008388519287, 1.0, 1.0], [2.4358537197113037, 2.0, 2.0]]"
113,28294,none,"['../Data/image-data/session-12/brake/Lap_9_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_9_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_9_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_9_Throttle hit_2.png']","[[1.3910863399505615, 1.0, 1.0], [2.345015048980713, 2.0, 2.0]]"
114,27954,none,"['../Data/image-data/session-12/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-12/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-12/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-12/throttle/Lap_10_Throttle hit_2.png']","[[1.5470032691955566, 1.0, 1.0], [2.1123170852661133, 2.0, 2.0]]"
115,29143,none,"['../Data/image-data/session-13/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-13/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-13/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-13/throttle/Lap_1_Throttle hit_2.png']","[[2.0748109817504883, 1.0, 1.0], [2.171182870864868, 2.0, 2.0]]"
116,28021,none,"['../Data/image-data/session-13/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-13/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-13/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-13/throttle/Lap_2_Throttle hit_2.png']","[[1.1826441287994385, 1.0, 1.0], [2.2147839069366455, 2.0, 2.0]]"
117,29015,none,"['../Data/image-data/session-13/brake/Lap_3_Brake hit_1.png', '../Data/image-data/session-13/brake/Lap_3_Brake hit_2.png']","['../Data/image-data/session-13/throttle/Lap_3_Throttle hit_1.png', '../Data/image-data/session-13/throttle/Lap_3_Throttle hit_2.png']","[[1.6333818435668945, 1.0, 1.0], [2.8785462379455566, 2.0, 2.0]]"
118,28051,none,"['../Data/image-data/session-13/brake/Lap_4_Brake hit_1.png', '../Data/image-data/session-13/brake/Lap_4_Brake hit_2.png']","['../Data/image-data/session-13/throttle/Lap_4_Throttle hit_1.png', '../Data/image-data/session-13/throttle/Lap_4_Throttle hit_2.png']","[[1.0624206066131592, 1.0, 1.0], [2.3667945861816406, 2.0, 2.0]]"
119,28150,none,"['../Data/image-data/session-13/brake/Lap_5_Brake hit_1.png', '../Data/image-data/session-13/brake/Lap_5_Brake hit_2.png']","['../Data/image-data/session-13/throttle/Lap_5_Throttle hit_1.png', '../Data/image-data/session-13/throttle/Lap_5_Throttle hit_2.png']","[[1.1936335563659668, 1.0, 1.0], [2.2159438133239746, 2.0, 2.0]]"
120,28400,track limit violation,['../Data/image-data/session-13/brake/Lap_6_track_limit_violating_brake.png'],['../Data/image-data/session-13/throttle/Lap_6_track_limit_violating_throttle_hit.png'],"[[0.9808871746063232, 1.0, 1.0]]"
121,28393,none,"['../Data/image-data/session-14/brake/Lap_1_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_1_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_1_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_1_Throttle hit_2.png']","[[1.576850175857544, 1.0, 1.0], [2.273770332336426, 2.0, 2.0]]"
122,27850,none,"['../Data/image-data/session-14/brake/Lap_2_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_2_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_2_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_2_Throttle hit_2.png']","[[1.14101243019104, 1.0, 1.0], [2.1484947204589844, 2.0, 2.0]]"
123,30075,track limit violation,['../Data/image-data/session-14/brake/Lap_3_track_limit_violating_brake.png'],['../Data/image-data/session-14/throttle/Lap_3_track_limit_violating_throttle_hit.png'],"[[1.014378547668457, 1.0, 1.0]]"
124,28320,track limit violation,['../Data/image-data/session-14/brake/Lap_4_track_limit_violating_brake.png'],['../Data/image-data/session-14/throttle/Lap_4_track_limit_violating_throttle_hit.png'],"[[1.6331126689910889, 1.0, 1.0], [2.2445034980773926, 2.0, 2.0]]"
125,28146,none,"['../Data/image-data/session-14/brake/Lap_5_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_5_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_5_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_5_Throttle hit_2.png']","[[1.3300001621246338, 1.0, 1.0], [2.503305435180664, 2.0, 2.0]]"
126,27910,none,"['../Data/image-data/session-14/brake/Lap_6_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_6_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_6_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_6_Throttle hit_2.png']","[[1.1693177223205566, 1.0, 1.0], [2.464219331741333, 2.0, 2.0]]"
127,28069,none,"['../Data/image-data/session-14/brake/Lap_7_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_7_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_7_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_7_Throttle hit_2.png']","[[1.1325936317443848, 1.0, 1.0], [1.8859882354736328, 2.0, 2.0]]"
128,27703,none,"['../Data/image-data/session-14/brake/Lap_8_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_8_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_8_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_8_Throttle hit_2.png']","[[0.8788406848907471, 1.0, 1.0], [2.4251792430877686, 2.0, 2.0]]"
129,29444,track limit violation,['../Data/image-data/session-14/brake/Lap_9_track_limit_violating_brake.png'],['../Data/image-data/session-14/throttle/Lap_9_track_limit_violating_throttle_hit.png'],"[[0.9135301113128662, 1.0, 1.0]]"
130,28125,none,"['../Data/image-data/session-14/brake/Lap_10_Brake hit_1.png', '../Data/image-data/session-14/brake/Lap_10_Brake hit_2.png']","['../Data/image-data/session-14/throttle/Lap_10_Throttle hit_1.png', '../Data/image-data/session-14/throttle/Lap_10_Throttle hit_2.png']","[[1.56168532371521, 1.0, 1.0], [2.4518327713012695, 2.0, 2.0]]"
